"Date of data","Commodity code","Commodity","Trading partner code","Trading partner","Customs Regime code","Customs Regime","Locations of importers and exporters code","Locations of importers and exporters","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"202605","44011100","Coniferous fuel wood£¬in logs/billetstwigs/faggots/similar forms","141","Viet Nam","10","Ordinary Trade","35","Fujian Province","1093","Kilogram","0","?","1,096",
"202605","44011200","Non-coniferous fuel wood£¬in logs/billetstwigs/faggots/similar forms","111","India","10","Ordinary Trade","35","Fujian Province","12970","Kilogram","0","?","71,594",
"202605","44011200","Non-coniferous fuel wood£¬in logs/billetstwigs/faggots/similar forms","112","Indonesia","10","Ordinary Trade","11","Beijing","9621","Kilogram","0","?","13,510",
"202605","44011200","Non-coniferous fuel wood£¬in logs/billetstwigs/faggots/similar forms","112","Indonesia","10","Ordinary Trade","32","Jiangsu Province","10000","Kilogram","0","?","14,042",
"202605","44011200","Non-coniferous fuel wood£¬in logs/billetstwigs/faggots/similar forms","112","Indonesia","10","Ordinary Trade","35","Fujian Province","50564","Kilogram","0","?","42,912",
"202605","44011200","Non-coniferous fuel wood£¬in logs/billetstwigs/faggots/similar forms","112","Indonesia","10","Ordinary Trade","42","Hubei Province","24138","Kilogram","0","?","10,895",
"202605","44011200","Non-coniferous fuel wood£¬in logs/billetstwigs/faggots/similar forms","112","Indonesia","10","Ordinary Trade","44","Guangdong Province","11176","Kilogram","0","?","64,697",
"202605","44011200","Non-coniferous fuel wood£¬in logs/billetstwigs/faggots/similar forms","122","Malaysia","10","Ordinary Trade","44","Guangdong Province","62","Kilogram","0","?","7,670",
"202605","44011200","Non-coniferous fuel wood£¬in logs/billetstwigs/faggots/similar forms","141","Viet Nam","10","Ordinary Trade","44","Guangdong Province","28000","Kilogram","0","?","9,020",
"202605","44011200","Non-coniferous fuel wood£¬in logs/billetstwigs/faggots/similar forms","141","Viet Nam","19","Border Trade","53","Yunnan Province","45500","Kilogram","0","?","11,587",
"202605","44011200","Non-coniferous fuel wood£¬in logs/billetstwigs/faggots/similar forms","143","Taiwan£¬China","10","Ordinary Trade","35","Fujian Province","23","Kilogram","0","?","113",
"202605","44011200","Non-coniferous fuel wood£¬in logs/billetstwigs/faggots/similar forms","601","Australia","10","Ordinary Trade","35","Fujian Province","1354","Kilogram","0","?","23,758",
"202605","44012100","Coniferous wood in chips or particles","141","Viet Nam","10","Ordinary Trade","35","Fujian Province","22199910","Kilogram","0","?","4,284,583",
"202605","44012100","Coniferous wood in chips or particles","141","Viet Nam","10","Ordinary Trade","37","Shandong Province","17181170","Kilogram","0","?","3,195,698",
"202605","44012100","Coniferous wood in chips or particles","344","Russia","10","Ordinary Trade","15","Inner Mongolia Autonomous Region","532800","Kilogram","0","?","39,240",
